word,variant_forms,abreviaturas,translation_value
uritu,['uritu'],['s'],amz.
urku,['urku'],['s'],"cerro, monte, montaña, colina, volcán, loma."
urmana,"['urmana', 'řumana']",['v'],caerse.
urpi,"['urpi', 'urpay']",['s'],tórtola.
uru,['araña'],['s'],araña.
usa,['usa'],['s'],piojo.
ushku,['ušku'],['s'],amz.
ushpitu,['ušpitu'],['s'],amz.
ushu,['ušu'],['s'],"burro, asno."
ushukullin,['ušukulyin'],['s'],na.
ushun,['ušun'],['s'],amz.
ushushi,"['ušuši', 'uši']",['s'],hija.
ushuta,['ušuta'],['s'],"sandalia, zapato."
uspun,"['uspun', 'puzun', 'pusun']",['s'],s.
usturiw,"['usturiw', 'usturyu']",['s'],na.
usuchina,['usučina'],['v'],amz.
usuna,['usuna'],['v'],amz.
utipana,['utipana'],['v'],amz.
utka,"['utka', 'uxta', 'ugta', 'utixa', 'utya', 'uča']",['adv'],"rápido, pronto, breve, apurado."
utkana,"['utkana', 'uxtana', 'utixana', 'ugtana', 'ut- yana', 'učana']",['v'],"apurar, acelerar, hacer con rapidez."
uturunku,['uturunku'],['s'],tigre.
uya,['uya'],['s'],ss.
uyana,"['uyana', 'xuyana']",['v'],"oir, escuchar,atender."
