word,variant_forms,abreviaturas,translation_value
kiwa,"['kiwa', 'xiwa', 'khiwa']",['s'],hierba en gene- ral.
kiwana,"['kiwana', 'xiwana', 'khiwana']",['v'],"des- hierbar, sacar la hierba."
kiwina,"['kiwina', 'kibina']",['v'],"lisiar, torcer, dislo- car."
kiya,"['kiya', 'kya']",['s'],pus.
kiyayana,"['kiyayana', 'kiayana']",['v'],"enconarse, infectarse las heridas."
kucha,"['kuča', 'koča']",['s'],"lago, laguna, charco."
kuchayana,['kučayana'],['v'],"inundarse, for- marse un lago, charco o algo similar."
kuchi,"['kuči', 'xuči', 'khuči']",['s'],"chancho, ma- rrano, cerdo, puerco."
kuchu,['kuču'],['s'],rincón.
kuchuna,['kučuna'],['v'],cortar.
kuchuyarina,['kučuyarina'],['v'],acercarse.
kula,['kula'],['s'],cacao blanco.
kulla,['gulya'],['s'],martes.
kullan,"['gulyan', 'gužan']",['s'],ss.
kullki,"['kulyki', 'kužki', 'kulki']",['s'],plata.
kullu,"['kulyu', 'kužu', 'xužu']",['s'],tronco.
kulluna,['kulyuna'],['v'],acción fallida.
kumal,"['kumal', 'kumar']",['s'],amz.
kumir,['kumir'],['adj'],color verde.
kumu,['kumu'],['adj'],scs.
kuna,['kuna'],['v'],dar.
kunan,"['kunaŋ', 'kunuŋ']",['adv'],"ahora, hoy, ac- tual."
kunchu,['kunchu'],['s'],s.
kupa,"['kupa', 'xupa']",['s'],basura.
kuri,"['kuri', 'kori']",['s'],oro.
kurikinki,"['kurikinki', 'kurikinge', 'kurikinga']",['s'],curiquingue.
kurpa,"['kurpa', 'kulpa']",['s'],s.
kuru,"['kuru', 'xuru', 'khuru']",['s'],gusano.
kurunta,['kuruŋda'],['s'],tusa.
kuruyana,"['kuruyana', 'xuruyana', 'khuruyana']",['v'],agusanarse; apolillarse.
kusa,['kusa'],['s'],"marido, esposo."
kusana,['kusana'],['v'],asar.
kushi,"['kuši', 'kusi']",['s'],"alegría, felicidad, dicha, ventura; fortaleza, energía."
kushilla,"['kušilya', 'kusilya', 'kušiža', 'kusiža']",['adv'],"feliz, contento, alegre, dichoso."
kushni,"['kušni', 'kusni']",['s'],"humo, humareda."
kushnichina,['kušničina'],['v'],humear.
kushpana,['kušpana'],['v'],s.
kushparina,['kušparina'],['v'],"sc, amz."
kushpi,['kušpi'],['s'],peonza.
kuska,['kuska'],['s'],amz.
kuskunku,['kuskuŋgu'],['s'],sns.
kutama,['kutama'],['s'],costal.
kutana,['kutana'],['v'],moler.
kutashka,['kutaška'],['s'],harina.
kutichina,['kutičina'],['v'],contestar.
kutimpu,"['kutimbu', 'kutiŋbu']",['s'],amz.
kutimuna,['kutimuna'],['v'],"retornar, regresar, volver."
kutin,['kutiŋ'],['adv'],"otra vez, de nuevo, nue- vamente."
kutsi,"['kutsi', 'kusi']",['adj'],s.
kutu,['kutu'],['s'],bocio.
kutul,"['kutul', 'xatulu', 'katul', 'katulu']",['s'],s.
kuwa,['kuwa'],['s'],amz.
kuwayu,['kuwayu'],['s'],amz.
kuy,"['kuy', 'kuwi', 'kowi']",['s'],"cuy, conejillo de in- dias."
kuya,"['kuya', 'koya']",['s'],esposa del inka.
kuyachina,"['kuyačina', 'xuyačina']",['v'],"seducir, acariciar."
kuyana,"['kuyana', 'xuyana', 'khuyana']",['v'],s.
kuyaylla,"['xuyayža', 'kuyaylya', 'kuyayža', 'khu- yayža']",['adj'],"snc, amz."
kuytsa,['kuytsa'],['s'],sn.
kuña,"['kuña', 'khuña', 'xuña']",['s'],snc.
lalu,['lalu'],['s'],amz.
lampa,['lampa'],['s'],pala.
lampana,['lampana'],['v'],im.
lan,['laŋ'],['s'],amz.
lancha,['laŋča'],['s'],s.
lanchana,['laŋčana'],['v'],destruir plantas y/o frutos por plaga.
lanta,['laŋda'],['adj'],pa.
lapukyana,['lapukyana'],['v'],"estilarse, empaparse, mojarse."
lapuna,['lapuna'],['v'],amz.
larka,"['larka', 'larga', 'rarka']",['s'],acequia.
larkana,"['larkana', 'rarkana']",['v'],hacer acequia.
laychu,['layču'],['adj'],ss.
liklik,"['liglik', 'ligli']",['s'],ave que anuncia la lluvia.
linchi,['linči'],['s'],red.
lisan,['lisaŋ'],['s'],paja toquilla.
lukata,['lukata'],['s'],amz.
lukllikirina,['luglyikirina'],['v'],bo.
lukma,"['luxma', 'rukma']",['s'],amz.
lulun,"['luluŋ', 'ruruŋ']",['s'],huevo; testículo.
lumarisu,"['lumarisu', 'rumarisu']",['s'],amz.
lumu,['lumu'],['s'],amz.
lumucha,['lumuča'],['s'],amz.
