word,variant_forms,abreviaturas,translation_value
sami,['-sami'],['comp'],"Clase, variedad."
sampa,"['samba', 'saŋba', 'šampa']",['adj'],"débil, suave; perezoso, cobarde."
sampayana,"['sambayana', 'saŋbayana']",['v'],amz.
sampi,"['sambi', 'saŋbi']",['s'],canilla.
sampu,"['sampu', 'zambu', 'zaŋbu']",['s'],s.
san,['saŋ'],['s'],pa.
sanku,['saŋgu'],['adj'],turbio.
sapallu,"['sapalyu', 'sapažu']",['s'],sapallo.
sapan,['sapaŋ'],['det'],cada.
sapiyana,['sapiyana'],['v'],enraizarse.
sara,['sara'],['s'],maíz.
sarpa,['sarpa'],['s'],"rocío, escarcha."
sarpana,"['sarpana', 'zarpana']",['v'],"rociar, caer el rocío."
sarun,['saruŋ'],['adv'],"pasado, antes, hace    SARUSHKA tiempo."
saruna,['saruna'],['v'],"pisar, atropellar."
sarushka,['saruška'],['s'],"rastro, huella, pisada."
sasi,['sasi'],['s'],"ayuno, dieta, abstención."
sasina,['sasina'],['v'],ayunar.
satina,['satina'],['v'],"meter, introducir."
sawarina,['sawarina'],['v'],"casarse, contraer matrimonio."
sayri,"['sayri', 'šayri']",['s'],"tabaco, cigarrillo."
sayrina,"['sayrina', 'šayrina']",['v'],fumar.
sayti,"['sayti', 'siti']",['s'],"muñeca, muñeco."
saywa,['saywa'],['s'],"lindero, límite, mojón."
sañi,"['sañi', 'sani']",['s'],hierba morada.
sañu,['sañu'],['s'],teja.
shakalli,['šakalyi'],['s'],na.
shakan,['šakaŋ'],['s'],na.
shallina,"['šalyina', 'čalyina']",['v'],amz.
shallipu,['šalyipu'],['s'],amz.
shampana,['šaŋbana'],['v'],im.
shamuk,['šamux'],['adv'],"futuro, venidero, lo que vendrá."
shamuna,['šamuna'],['v'],venir.
shapaka,['šapaxa'],['s'],variedad de palmera.
shayak,['šayak'],['adv'],vertical.
shayana,['šayay'],['v'],"parar, detener."
shaykuna,['šaykuna'],['v'],s.
shañu,['šañu'],['s'],"café, planta y bebida."
shikina,['šiŋkina'],['v'],amz.
shikitu,['šikitu'],['s'],amz.
shikra,"['šikra', 'sigra']",['s'],bolso.
shikshi,"['šixši', 'šigši']",['s'],sarna.
shikshina,"['šikšina', 'šigšina']",['v'],dar come- zón.
shiktikuy,['šixtikuy'],['s'],na.
shila,"['šila', 'šilya']",['s'],"vasija de barro, jarra, taza."
shillinkuk,['šilyiŋkux'],['adj'],travieso.
shillinkuna,['šilyiŋguy'],['v'],amz.
shillishilli,['šilyišilyi'],['s'],amz.
shilltipu,['šilytipu'],['s'],amz.
shimi,"['šimi', 'simi']",['s'],"idioma, lenguaje articu- lado."
shiminchina,"['šiminčina', 'šimiŋžina']",['v'],hacer bordes.
shimpi,"['šiŋbi', 'šimbu', 'čimpu']",['s'],variedad de palmera.
shina,"['šina', 'čina', 'sina', 'žina', 'xina']",['adv'],como.
shinallatak,"['šinallatax', 'šinaladig', 'činala- dig']",['conj'],pero.
shinami,['šinami'],['adv'],por   supuesto.
shinana,['šinana'],['v'],hacer siguiendo un mo- delo.
shinapash,"['šinapaš', 'šinapiš']",['conj'],"pero, de todas maneras."
shinayka,"['šinayga', 'šinaga']",['adv'],na.
shinkana,['šiŋgana'],['v'],"marearse, desma- yarse."
shinkayana,['šiŋgayana'],['v'],"emborracharse, chumarse, embriagarse."
shinki,['šiŋki'],['s'],amz.
shinshin,"['šiŋšiŋ', 'šinšiŋ']",['s'],amz.
shipati,['šipati'],['s'],na.
shirinka,"['širiŋka', 'širiŋga']",['s'],amz.
shitana,['šitana'],['v'],"botar, arrojar, tirar, lan- zar."
shiwa,['šiwa'],['s'],pa.
shiway,['šiway'],['s'],pa.
shiwi,"['šiwi', 'siwi']",['s'],"anillo, sortija."
shuk,"['šuk', 'šug', 'šux', 'šu']",['num'],uno.
sichi,['siči'],['s'],amz.
siki,['siki'],['s'],"nalga, glúteos."
siksik,"['sixsix', 'sixsi', 'sigsix', 'sigsi']",['s'],s.
sillu,"['silyu', 'sižu']",['s'],"uña, casco, pezuña."
